index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-89f7146e-9864-a874-a024-4b4c620d8f98,460.32.03,Tesla V100-SXM2-32GB,1565019013376,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,32510,20580,11930,2023/07/01 10:53:21.164
0,0,32510,20580,11930,2023/07/01 10:53:51.251
0,0,32510,20580,11930,2023/07/01 10:54:21.307
0,0,32510,20580,11930,2023/07/01 10:54:51.371
0,0,32510,20580,11930,2023/07/01 10:55:21.446
0,0,32510,20580,11930,2023/07/01 10:55:51.506
0,0,32510,20580,11930,2023/07/01 10:56:21.567
0,77,32510,20580,11930,2023/07/01 10:56:51.651
0,5,32510,20580,11930,2023/07/01 10:57:21.713
0,0,32510,20580,11930,2023/07/01 10:57:51.775
0,82,32510,20580,11930,2023/07/01 10:58:21.852
0,4,32510,20580,11930,2023/07/01 10:58:51.917
0,0,32510,20580,11930,2023/07/01 10:59:21.978
0,0,32510,20580,11930,2023/07/01 10:59:52.041
0,0,32510,20580,11930,2023/07/01 11:00:22.102
0,0,32510,20580,11930,2023/07/01 11:00:52.162
0,0,32510,20580,11930,2023/07/01 11:01:22.226
0,100,32510,20580,11930,2023/07/01 11:01:52.286
0,0,32510,20580,11930,2023/07/01 11:02:22.346
0,43,32510,20580,11930,2023/07/01 11:02:52.386
0,0,32510,20580,11930,2023/07/01 11:03:22.458
0,0,32510,20580,11930,2023/07/01 11:03:52.504
0,0,32510,20580,11930,2023/07/01 11:04:22.566
0,31,32510,20580,11930,2023/07/01 11:04:52.657
0,0,32510,20580,11930,2023/07/01 11:05:22.723
0,54,32510,20580,11930,2023/07/01 11:05:52.790
0,0,32510,20580,11930,2023/07/01 11:06:22.854
0,0,32510,20580,11930,2023/07/01 11:06:52.938
0,7,32510,20580,11930,2023/07/01 11:07:22.991
0,0,32510,20580,11930,2023/07/01 11:07:53.038
0,18,32510,20580,11930,2023/07/01 11:08:23.138
0,0,32510,20580,11930,2023/07/01 11:08:53.204
0,0,32510,20580,11930,2023/07/01 11:09:23.257
0,0,32510,20580,11930,2023/07/01 11:09:53.320
0,70,32510,20580,11930,2023/07/01 11:10:23.358
0,100,32510,20580,11930,2023/07/01 11:10:53.459
0,5,32510,20580,11930,2023/07/01 11:11:23.523
0,72,32510,20580,11930,2023/07/01 11:11:53.594
0,0,32510,20580,11930,2023/07/01 11:12:23.695
0,0,32510,20580,11930,2023/07/01 11:12:53.760
0,0,32510,20580,11930,2023/07/01 11:13:23.806
0,21,32510,20580,11930,2023/07/01 11:13:53.891
0,0,32510,20580,11930,2023/07/01 11:14:23.959
0,50,32510,20580,11930,2023/07/01 11:14:54.048
0,0,32510,20580,11930,2023/07/01 11:15:24.108
0,20,32510,20580,11930,2023/07/01 11:15:54.169
0,59,32510,20580,11930,2023/07/01 11:16:24.249
0,43,32510,20580,11930,2023/07/01 11:16:54.341
0,0,32510,20580,11930,2023/07/01 11:17:24.437
0,0,32510,20580,11930,2023/07/01 11:17:54.500
0,2,32510,20580,11930,2023/07/01 11:18:24.563
0,0,32510,20580,11930,2023/07/01 11:18:54.651
0,0,32510,20580,11930,2023/07/01 11:19:24.688
0,0,32510,20580,11930,2023/07/01 11:19:54.762
0,0,32510,20580,11930,2023/07/01 11:20:24.815
0,6,32510,20580,11930,2023/07/01 11:20:54.862
0,0,32510,20580,11930,2023/07/01 11:21:24.897
0,53,32510,20580,11930,2023/07/01 11:21:54.961
0,0,32510,20580,11930,2023/07/01 11:22:25.017
0,0,32510,20580,11930,2023/07/01 11:22:55.064
0,0,32510,20580,11930,2023/07/01 11:23:25.138
0,100,32510,20580,11930,2023/07/01 11:23:55.246
0,0,32510,20580,11930,2023/07/01 11:24:25.295
0,0,32510,20580,11930,2023/07/01 11:24:55.338
0,72,32510,20580,11930,2023/07/01 11:25:25.378
0,0,32510,20580,11930,2023/07/01 11:25:55.444
0,0,32510,20580,11930,2023/07/01 11:26:25.505
0,0,32510,20580,11930,2023/07/01 11:26:55.567
0,0,32510,20580,11930,2023/07/01 11:27:25.663
0,0,32510,20580,11930,2023/07/01 11:27:55.732
0,25,32510,20580,11930,2023/07/01 11:28:25.793
0,0,32510,20580,11930,2023/07/01 11:28:55.847
0,0,32510,20580,11930,2023/07/01 11:29:25.906
0,35,32510,20580,11930,2023/07/01 11:29:55.963
0,1,32510,20580,11930,2023/07/01 11:30:26.054
0,0,32510,20580,11930,2023/07/01 11:30:56.120
0,0,32510,20580,11930,2023/07/01 11:31:26.168
0,69,32510,20580,11930,2023/07/01 11:31:56.250
0,0,32510,20580,11930,2023/07/01 11:32:26.287
0,47,32510,20580,11930,2023/07/01 11:32:56.363
0,55,32510,20580,11930,2023/07/01 11:33:26.450
0,0,32510,20580,11930,2023/07/01 11:33:56.510
0,18,32510,20580,11930,2023/07/01 11:34:26.561
0,89,32510,20580,11930,2023/07/01 11:34:56.595
0,0,32510,20580,11930,2023/07/01 11:35:26.660
0,0,32510,20580,11930,2023/07/01 11:35:56.716
0,50,32510,20580,11930,2023/07/01 11:36:26.778
0,47,32510,20580,11930,2023/07/01 11:36:56.862
0,0,32510,20580,11930,2023/07/01 11:37:26.944
0,0,32510,20580,11930,2023/07/01 11:37:57.006
0,0,32510,20580,11930,2023/07/01 11:38:27.062
0,9,32510,20580,11930,2023/07/01 11:38:57.139
0,0,32510,20580,11930,2023/07/01 11:39:27.186
0,0,32510,20580,11930,2023/07/01 11:39:57.263
0,54,32510,20580,11930,2023/07/01 11:40:27.361
0,0,32510,20580,11930,2023/07/01 11:40:57.442
0,0,32510,20580,11930,2023/07/01 11:41:27.500
0,0,32510,20580,11930,2023/07/01 11:41:57.550
0,0,32510,20580,11930,2023/07/01 11:42:27.594
0,0,32510,20580,11930,2023/07/01 11:42:57.637
0,0,32510,20580,11930,2023/07/01 11:43:27.682
0,24,32510,20580,11930,2023/07/01 11:43:57.762
0,0,32510,20580,11930,2023/07/01 11:44:27.838
0,52,32510,20580,11930,2023/07/01 11:44:57.899
0,84,32510,20580,11930,2023/07/01 11:45:27.964
0,0,32510,20580,11930,2023/07/01 11:45:58.005
0,54,32510,20580,11930,2023/07/01 11:46:28.069
0,71,32510,20580,11930,2023/07/01 11:46:58.155
0,40,32510,20580,11930,2023/07/01 11:47:28.215
0,0,32510,20580,11930,2023/07/01 11:47:58.256
